#ItemID,PictID,IconID,名字,类别 ID,Price,Weight,Height,装备时的容量,Possesion Weight,Repair,强化ID,处理Club,Event,Recipe 可能性,染色,重叠,Two Hand,使用时消灭,Colour,耐久度,强化内属性值,eventＩＤ,Effect,Attack Skill,可使用Skill,Passif skill,慿依时可能与否,慿依passif Skill,Tarket type,发动type,射程,效果时间,效果范围,效果级别,cast,delay,HP Increase,MP Increase,SPIncrease,最大重量上升,最大容量上升,移动力上升,STR,MAG,VIT,DEX,AGI,INT,LUK,CHA,物理攻击力(打),物理攻击力(砍),物理攻击力(刺),Magical Attack,Physical Defensive,Magical Defensive,近命中率,远命中率,魔法命中率,近回避率,远回避率,魔法回避,创造力,创造力回避,Recovery,MP Recovery,non,Fire,Water,Wind,土,Light,Darkness,Poison,石化,麻痹,Sleep,Silent,钝化,混乱,冻结,气绝,Human,Angel,恶魔,Male,Female,LV,可装备 STR,可装备MAG,可装备 VIT,可装备 DEX,可装备 AGI,可装备 INT,可装备 LUK,可装备 CHA,novice,swordman,blade master,bounty hunter,fencer,knight,dark stalker,scout,assassin,command,archer,striker,gunner,wizard,sorcerer,sage,shaman,Summoner,enchanter,batters,druid,Bard,warlock,cabalist,necromancer,miner,black smith,machinery,farmer,Alchemist,Marionette Harmony,ranger,explorer,treasure hunter,merchant,trader,gambler ,东军,西军,南军,北军,所属５,所属６,所属７,所属８,所属９,所属１０,所属１１,所属１２,所属１３,所属１４,所属１５,变身ＩＤ,封印monsterＩＤ,单手动作ID,双手动作ID,Item Description,国外ITEM,国外ITEM2,LV,
10000000,0,10000000,?,NONE,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unknown item,0,0,0,
10000100,0,10000100,Potion1(Unused),POTION,0,21,14,0,0,-1,-1,0,0,0,0,1,0,1,0,0,10,0,0,0,0,0,0,0,SELF,NONE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
10000101,0,10000101,Magic Drink,POTION,150,10,10,0,0,-1,-1,0,0,1,0,1,0,1,0,0,10,0,4118,0,0,0,0,0,SELF,NONE,0,120000,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Potion$RSlowly restores MP$RHas an unpleasant aftertaste,0,0,0,
10000102,0,10000102,Magic Potion,POTION,300,100,70,0,0,-1,-1,0,0,1,0,1,0,1,0,0,10,0,4118,0,0,0,0,0,SELF,NONE,3,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Potion$RRestores MP$RIt is thick and tasteless,0,0,0,
10000103,0,10000103,Heal Potion,POTION,300,100,70,0,0,-1,-1,0,0,1,0,1,0,1,0,0,10,0,4118,0,0,0,0,0,SELF,NONE,3,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Potion$RRestores HP$RIt is thick and tasteless,0,0,0,
10000104,0,10001904,Jerico Potion,POTION,50,100,70,0,0,-1,-1,0,0,1,0,1,0,1,0,0,10,0,4118,0,0,0,0,0,SELF,NONE,3,0,0,0,0,0,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Liquid Jerico$RRestores a very small amount of HP$Ryet it is heavy for carrying around,0,0,0,
10000105,0,10000105,Energy Drink,POTION,150,10,10,0,0,-1,-1,0,0,1,0,1,0,1,0,0,10,0,4118,0,0,0,0,0,SELF,NONE,0,120000,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Potion$RSlowly restores HP$RHas an unpleasant aftertaste,0,0,0,
10000106,0,10000106,Multi Condition Drink,POTION,3000,14,14,0,0,-1,-1,0,0,1,0,1,0,1,0,0,10,0,4118,0,0,0,0,0,SELF,NONE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Potion$RCounteracts various abnormal character status$RIt is thick and tasteless,0,0,0,
10000107,0,10000107,Power Drink,POTION,150,7,7,0,0,-1,-1,0,0,1,0,1,0,1,0,0,10,0,4118,0,0,0,0,0,SELF,NONE,0,120000,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Potion$RSlowly restores SP$RHas an unpleasant aftertaste,0,0,0,
10000108,0,10000108,Stamina Potion,POTION,300,100,70,0,0,-1,-1,0,0,1,0,1,0,1,0,0,10,0,4118,0,0,0,0,0,SELF,NONE,3,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Potion$RRestores SP$RIt is thick and tasteless,0,0,0,
